,Palavras,Frequência
0,go jurong point crazy available bugis n great world la e buffet cine got amore wat,1
1,ok lar joking wif u oni,1
2,free entry wkly comp win fa cup final tkts st may text fa receive entry question std txt rate c apply,2
3,u dun say early hor u c already say,1
4,nah think goes usf lives around though,1
5,freemsg hey darling week word back like fun still tb ok xxx std chgs send £ rcv,1
6,even brother like speak treat like aids patent,1
7,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press * copy friends callertune,3
8,winner valued network customer selected receivea £ prize reward claim call claim code kl valid hours,2
9,mobile months u r entitled update latest colour mobiles camera free call mobile update co free,2
10,gonna home soon want talk stuff anymore tonight k cried enough today,1
11,six chances win cash pounds txt csh send cost p day days tsandcs apply reply hl info,2
12,urgent week free membership £ prize jackpot txt word claim c www dbuk net lccltd pobox ldnwarw,2
13,searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times,1
14,date sunday,1
15,xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclub com n=qjkgighjjgcbl,1
16,oh k watching,1
17,eh u remember spell name yes v naughty make v wet,1
18,fine thats way u feel thats way gota b,1
19,england v macedonia dont miss goals team news txt ur national team eg england try wales scotland txt ú poboxoxwwq,1
20,seriously spell name,1
21,i‘m going try months ha ha joking,1
22,ü pay first lar da stock comin,1
23,aft finish lunch go str lor ard smth lor u finish ur lunch already,1
24,ffffffffff alright way meet sooner,1
25,forced eat slice really hungry tho sucks mark getting worried knows sick turn pizza lol,1
26,lol always convincing,1
27,catch bus frying egg make tea eating mom left dinner feel love,1
28,back amp packing car let know room,1
29,ahhh work vaguely remember feel like lol,1
30,wait still clear sure sarcastic x want live us,1
31,yeah got v apologetic n fallen actin like spoilt child got caught till go badly cheers,1
32,k tell anything,1
33,fear fainting housework quick cuppa,1
34,thanks subscription ringtone uk mobile charged £ month please confirm replying yes reply charged,1
35,yup ok go home look timings msg ü xuhui going learn nd may lesson,1
36,oops let know roommate done,1
37,see letter b car,1
38,anything lor u decide,1
39,hello saturday go texting see decided anything tomo trying invite anything,1
40,pls go ahead watts wanted sure great weekend abiola,1
41,forget tell want need crave love sweet arabian steed mmmmmm yummy,1
42,rodger burns msg = tried call reply sms free nokia mobile free camcorder please call delivery tomorrow,1
43,seeing,1
44,great hope like man well endowed lt gt inches,1
45,calls messages missed calls,3
46,get hep b immunisation nigeria,1
47,fair enough anything going,1
48,yeah hopefully tyler could maybe ask around bit,1
49,u know stubborn even want go hospital kept telling mark weak sucker hospitals weak suckers,1
50,thinked first time saw class,1
51,gram usually runs like lt gt half eighth smarter though gets almost whole second gram lt gt,1
52,k fyi x ride early tomorrow morning crashing place tonight,1
53,wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry give sorry offered sorry room embarassing,1
54,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv,1
55,know mallika sherawat yesterday find lt url gt,1
56,congrats year special cinema pass call c suprman v matrix starwars etc free bx ip pm dont miss,3
57,sorry call later meeting,4
58,tell reached,1
59,yes gauti sehwag odi series,1
60,gonna pick burger way home even move pain killing,1
61,ha ha ha good joke girls situation seekers,1
62,part checking iq,2
63,sorry roommates took forever ok come,1
64,ok lar double check wif da hair dresser already said wun cut v short said cut look nice,1
65,valued customer pleased advise following recent review mob awarded £ bonus prize call,3
66,today song dedicated day song u dedicate send ur valuable frnds first rply,2
67,urgent ur awarded complimentary trip eurodisinc trav aco entry £ claim txt dis *£ morefrmmob shracomorsglsuplt ls aj,2
68,hear new divorce barbie comes ken stuff,1
69,plane give month end,1
70,wah lucky man save money hee,1
71,finished class,1
72,hi babe im home wanna something xx,1
73,k k performed,1
74,u call,2
75,waiting machan call free,1
76,thats cool gentleman treat dignity respect,2
77,like peoples much shy pa,1
78,operate lt gt,1
79,still looking job much ta earn,1
80,sorry call later,30
81,k call ah,1
82,ok way home hi hi,1
83,place man,3
84,yup next stop,1
85,call later network urgnt sms,2
86,real u getting yo need tickets one jacket done already used multis,1
87,yes started send requests make pain came back back bed double coins factory gotta cash nitros,1
88,really still tonight babe,1
89,ela kano il download come wen ur free,1
90,yeah don‘t stand close tho you‘ll catch something,1
91,sorry pain ok meet another night spent late afternoon casualty means done stuffmoro includes time sheets sorry,1
92,smile pleasure smile pain smile trouble pours like rain smile sum hurts u smile becoz someone still loves see u smiling,2
93,please call customer service representative pm guaranteed £ cash £ prize,2
94,havent planning buy later check already lido got show e afternoon u finish work already,1
95,free ringtone waiting collected simply text password mix verify get usher britney fml po box mk h ppw,2
96,watching telugu movie wat abt u,1
97,see finish loads loans pay,1
98,hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob u,1
99,see cup coffee animation,1
100,please text anymore nothing else say,1
101,okay name ur price long legal wen pick u ave x ams xx,1
102,still looking car buy gone driving test yet,1
103,wow right mean guess gave boston men changed search location nyc something changed cuz signin page still says boston,1
104,umma life vava umma love lot dear,1
105,thanks lot wishes birthday thanks making birthday truly memorable,1
106,aight hit get cash,1
107,would ip address test considering computer minecraft server,1
108,know grumpy old people mom like better lying always one play jokes,1
109,dont worry guess busy,1
110,plural noun research,1
111,going dinner msg,1
112,ok wif cos like try new things scared u dun like mah cos u said loud,1
113,gent trying contact last weekends draw shows £ prize guaranteed call claim code k valid hrs ppm,2
114,wa ur openin sentence formal anyway fine juz tt eatin much n puttin weight haha anythin special happened,1
115,entered cabin pa said happy b day boss felt special askd lunch lunch invited apartment went,3
116,winner u specially selected receive £ * holiday flights inc speak live operator claim p min,1
117,goodo yes must speak friday egg potato ratio tortilla needed,1
118,hmm uncle informed paying school directly pls buy food,1
119,private account statement shows unredeemed bonus points claim call identifier code expires,2
120,urgent mobile awarded £ bonus caller prize final try contact u call landline boxwrc ppm,1
121,new address apples pairs malarky,1
